steps: 500, lr: 1.60e-05, avg_loss: 7.53
steps: 25500, lr: 7.92e-04, avg_loss: 3.73, run_time: 81.03
steps: 26000, lr: 7.84e-04, avg_loss: 3.72, run_time: 80.44
steps: 26500, lr: 7.77e-04, avg_loss: 3.72, run_time: 81.32
steps: 27000, lr: 7.70e-04, avg_loss: 3.72, run_time: 80.92
steps: 27500, lr: 7.63e-04, avg_loss: 3.72, run_time: 81.02
steps: 28000, lr: 7.56e-04, avg_loss: 3.71, run_time: 80.64
steps: 28500, lr: 7.49e-04, avg_loss: 3.71, run_time: 80.54
steps: 29000, lr: 7.43e-04, avg_loss: 3.74, run_time: 1.04e+02
steps: 29500, lr: 7.36e-04, avg_loss: 3.66, run_time: 80.46
steps: 30000, lr: 7.30e-04, avg_loss: 3.66, run_time: 85.03
steps: 30500, lr: 7.24e-04, avg_loss: 3.67, run_time: 80.67
steps: 31000, lr: 7.18e-04, avg_loss: 3.66, run_time: 80.71
steps: 31500, lr: 7.13e-04, avg_loss: 3.67, run_time: 80.52
steps: 32000, lr: 7.07e-04, avg_loss: 3.67, run_time: 80.51
steps: 32500, lr: 7.02e-04, avg_loss: 3.66, run_time: 80.72
steps: 33000, lr: 6.96e-04, avg_loss: 3.66, run_time: 80.18
steps: 33500, lr: 6.91e-04, avg_loss: 3.66, run_time: 80.57
steps: 34000, lr: 6.86e-04, avg_loss: 3.62, run_time: 1.04e+02
steps: 34500, lr: 6.81e-04, avg_loss: 3.64, run_time: 80.70
steps: 35000, lr: 6.76e-04, avg_loss: 3.64, run_time: 80.77
steps: 35500, lr: 6.71e-04, avg_loss: 3.64, run_time: 81.10
steps: 36000, lr: 6.67e-04, avg_loss: 3.64, run_time: 81.17
steps: 36500, lr: 6.62e-04, avg_loss: 3.64, run_time: 81.27
steps: 37000, lr: 6.58e-04, avg_loss: 3.64, run_time: 80.52
steps: 37500, lr: 6.53e-04, avg_loss: 3.63, run_time: 80.54
steps: 38000, lr: 6.49e-04, avg_loss: 3.63, run_time: 88.96
steps: 38500, lr: 6.45e-04, avg_loss: 3.63, run_time: 80.68
steps: 39000, lr: 6.41e-04, avg_loss: 3.62, run_time: 1.06e+02
steps: 39500, lr: 6.36e-04, avg_loss: 3.61, run_time: 81.12
steps: 40000, lr: 6.32e-04, avg_loss: 3.62, run_time: 82.38
steps: 40500, lr: 6.29e-04, avg_loss: 3.62, run_time: 84.88
steps: 41000, lr: 6.25e-04, avg_loss: 3.61, run_time: 80.73
steps: 41500, lr: 6.21e-04, avg_loss: 3.62, run_time: 80.68
steps: 42000, lr: 6.17e-04, avg_loss: 3.62, run_time: 80.72
steps: 42500, lr: 6.14e-04, avg_loss: 3.61, run_time: 85.43
steps: 43000, lr: 6.10e-04, avg_loss: 3.61, run_time: 84.67
steps: 43500, lr: 6.06e-04, avg_loss: 3.64, run_time: 1.04e+02
steps: 44000, lr: 6.03e-04, avg_loss: 3.58, run_time: 80.52
steps: 44500, lr: 6.00e-04, avg_loss: 3.59, run_time: 80.18
steps: 45000, lr: 5.96e-04, avg_loss: 3.58, run_time: 80.32
steps: 45500, lr: 5.93e-04, avg_loss: 3.58, run_time: 80.08
steps: 46000, lr: 5.90e-04, avg_loss: 3.58, run_time: 80.93
steps: 46500, lr: 5.87e-04, avg_loss: 3.58, run_time: 80.82
steps: 47000, lr: 5.83e-04, avg_loss: 3.58, run_time: 80.92
steps: 47500, lr: 5.80e-04, avg_loss: 3.58, run_time: 80.77
steps: 48000, lr: 5.77e-04, avg_loss: 3.58, run_time: 80.96
steps: 48500, lr: 5.74e-04, avg_loss: 3.56, run_time: 1.10e+02
steps: 49000, lr: 5.71e-04, avg_loss: 3.57, run_time: 80.89
steps: 49500, lr: 5.69e-04, avg_loss: 3.58, run_time: 80.68
steps: 50000, lr: 5.66e-04, avg_loss: 3.58, run_time: 80.47
steps: 50500, lr: 5.63e-04, avg_loss: 3.58, run_time: 80.62
steps: 51000, lr: 5.60e-04, avg_loss: 3.57, run_time: 84.73
steps: 51500, lr: 5.57e-04, avg_loss: 3.57, run_time: 80.14
steps: 52000, lr: 5.55e-04, avg_loss: 3.58, run_time: 81.08
steps: 52500, lr: 5.52e-04, avg_loss: 3.57, run_time: 80.79
steps: 53000, lr: 5.49e-04, avg_loss: 3.57, run_time: 80.70
steps: 53500, lr: 5.47e-04, avg_loss: 3.56, run_time: 1.05e+02
steps: 54000, lr: 5.44e-04, avg_loss: 3.57, run_time: 84.88
steps: 54500, lr: 5.42e-04, avg_loss: 3.57, run_time: 81.55
steps: 55000, lr: 5.39e-04, avg_loss: 3.57, run_time: 81.07
steps: 55500, lr: 5.37e-04, avg_loss: 3.57, run_time: 80.57
steps: 56000, lr: 5.35e-04, avg_loss: 3.57, run_time: 81.14
steps: 56500, lr: 5.32e-04, avg_loss: 3.57, run_time: 81.49
steps: 57000, lr: 5.30e-04, avg_loss: 3.57, run_time: 80.61
steps: 57500, lr: 5.28e-04, avg_loss: 3.57, run_time: 80.74
steps: 58000, lr: 5.25e-04, avg_loss: 3.55, run_time: 1.05e+02
steps: 58500, lr: 5.23e-04, avg_loss: 3.56, run_time: 81.07
steps: 59000, lr: 5.21e-04, avg_loss: 3.55, run_time: 80.34
steps: 59500, lr: 5.19e-04, avg_loss: 3.55, run_time: 80.65
steps: 60000, lr: 5.16e-04, avg_loss: 3.55, run_time: 81.60
steps: 60500, lr: 5.14e-04, avg_loss: 3.55, run_time: 81.69
steps: 61000, lr: 5.12e-04, avg_loss: 3.55, run_time: 80.83
steps: 61500, lr: 5.10e-04, avg_loss: 3.55, run_time: 80.96
steps: 62000, lr: 5.08e-04, avg_loss: 3.55, run_time: 80.93
steps: 62500, lr: 5.06e-04, avg_loss: 3.55, run_time: 80.99
steps: 63000, lr: 5.04e-04, avg_loss: 3.54, run_time: 1.04e+02
steps: 63500, lr: 5.02e-04, avg_loss: 3.53, run_time: 80.24
steps: 64000, lr: 5.00e-04, avg_loss: 3.54, run_time: 80.86
steps: 64500, lr: 4.98e-04, avg_loss: 3.54, run_time: 80.21
steps: 65000, lr: 4.96e-04, avg_loss: 3.54, run_time: 80.26
steps: 65500, lr: 4.94e-04, avg_loss: 3.54, run_time: 80.41
steps: 66000, lr: 4.92e-04, avg_loss: 3.54, run_time: 80.27
steps: 66500, lr: 4.91e-04, avg_loss: 3.54, run_time: 84.70
steps: 67000, lr: 4.89e-04, avg_loss: 3.54, run_time: 80.69
steps: 67500, lr: 4.87e-04, avg_loss: 3.54, run_time: 84.75
steps: 68000, lr: 4.85e-04, avg_loss: 3.53, run_time: 1.09e+02
steps: 68500, lr: 4.83e-04, avg_loss: 3.53, run_time: 80.90
steps: 69000, lr: 4.82e-04, avg_loss: 3.53, run_time: 80.62
steps: 69500, lr: 4.80e-04, avg_loss: 3.53, run_time: 80.97
steps: 70000, lr: 4.78e-04, avg_loss: 3.53, run_time: 82.15
steps: 70500, lr: 4.76e-04, avg_loss: 3.52, run_time: 85.07
steps: 71000, lr: 4.75e-04, avg_loss: 3.52, run_time: 80.54
steps: 71500, lr: 4.73e-04, avg_loss: 3.53, run_time: 81.01
steps: 72000, lr: 4.71e-04, avg_loss: 3.52, run_time: 81.70
steps: 72500, lr: 4.70e-04, avg_loss: 3.53, run_time: 1.06e+02
steps: 73000, lr: 4.68e-04, avg_loss: 3.52, run_time: 81.16
steps: 73500, lr: 4.67e-04, avg_loss: 3.52, run_time: 80.36
steps: 74000, lr: 4.65e-04, avg_loss: 3.52, run_time: 80.24
steps: 74500, lr: 4.63e-04, avg_loss: 3.52, run_time: 80.48
steps: 75000, lr: 4.62e-04, avg_loss: 3.52, run_time: 80.37
steps: 75500, lr: 4.60e-04, avg_loss: 3.52, run_time: 87.25
steps: 76000, lr: 4.59e-04, avg_loss: 3.52, run_time: 81.86
steps: 76500, lr: 4.57e-04, avg_loss: 3.52, run_time: 82.39
steps: 77000, lr: 4.56e-04, avg_loss: 3.52, run_time: 85.19
steps: 77500, lr: 4.54e-04, avg_loss: 3.54, run_time: 1.10e+02
steps: 78000, lr: 4.53e-04, avg_loss: 3.53, run_time: 80.89
steps: 78500, lr: 4.51e-04, avg_loss: 3.52, run_time: 86.00
steps: 79000, lr: 4.50e-04, avg_loss: 3.52, run_time: 83.50
steps: 79500, lr: 4.49e-04, avg_loss: 3.52, run_time: 88.64
steps: 80000, lr: 4.47e-04, avg_loss: 3.52, run_time: 82.15
steps: 80500, lr: 4.46e-04, avg_loss: 3.52, run_time: 81.22
steps: 81000, lr: 4.44e-04, avg_loss: 3.52, run_time: 86.42
steps: 81500, lr: 4.43e-04, avg_loss: 3.52, run_time: 82.08
steps: 82000, lr: 4.42e-04, avg_loss: 3.52, run_time: 81.77
steps: 82500, lr: 4.40e-04, avg_loss: 3.52, run_time: 1.07e+02
steps: 83000, lr: 4.39e-04, avg_loss: 3.52, run_time: 80.68
steps: 83500, lr: 4.38e-04, avg_loss: 3.51, run_time: 80.83
steps: 84000, lr: 4.36e-04, avg_loss: 3.51, run_time: 80.79
steps: 84500, lr: 4.35e-04, avg_loss: 3.51, run_time: 80.94
steps: 85000, lr: 4.34e-04, avg_loss: 3.51, run_time: 80.97
steps: 85500, lr: 4.33e-04, avg_loss: 3.51, run_time: 82.32
steps: 86000, lr: 4.31e-04, avg_loss: 3.51, run_time: 85.38
steps: 86500, lr: 4.30e-04, avg_loss: 3.51, run_time: 80.44
steps: 87000, lr: 4.29e-04, avg_loss: 3.54, run_time: 1.07e+02
steps: 87500, lr: 4.28e-04, avg_loss: 3.50, run_time: 80.61
steps: 88000, lr: 4.26e-04, avg_loss: 3.50, run_time: 81.24
steps: 88500, lr: 4.25e-04, avg_loss: 3.51, run_time: 81.16
steps: 89000, lr: 4.24e-04, avg_loss: 3.51, run_time: 80.59
steps: 89500, lr: 4.23e-04, avg_loss: 3.50, run_time: 81.05
steps: 90000, lr: 4.22e-04, avg_loss: 3.50, run_time: 80.87
steps: 90500, lr: 4.20e-04, avg_loss: 3.50, run_time: 81.40
steps: 91000, lr: 4.19e-04, avg_loss: 3.50, run_time: 84.57
steps: 91500, lr: 4.18e-04, avg_loss: 3.50, run_time: 80.82
steps: 92000, lr: 4.17e-04, avg_loss: 3.49, run_time: 1.07e+02
steps: 92500, lr: 4.16e-04, avg_loss: 3.50, run_time: 81.59
steps: 93000, lr: 4.15e-04, avg_loss: 3.50, run_time: 84.66
steps: 93500, lr: 4.14e-04, avg_loss: 3.50, run_time: 81.45
steps: 94000, lr: 4.13e-04, avg_loss: 3.50, run_time: 81.89
steps: 94500, lr: 4.11e-04, avg_loss: 3.50, run_time: 80.98
steps: 95000, lr: 4.10e-04, avg_loss: 3.50, run_time: 80.95
steps: 95500, lr: 4.09e-04, avg_loss: 3.50, run_time: 82.30
steps: 96000, lr: 4.08e-04, avg_loss: 3.50, run_time: 81.16
steps: 96500, lr: 4.07e-04, avg_loss: 3.50, run_time: 80.90
steps: 97000, lr: 4.06e-04, avg_loss: 3.52, run_time: 1.06e+02
steps: 97500, lr: 4.05e-04, avg_loss: 3.50, run_time: 82.19
steps: 98000, lr: 4.04e-04, avg_loss: 3.50, run_time: 81.27
steps: 98500, lr: 4.03e-04, avg_loss: 3.49, run_time: 80.54
steps: 99000, lr: 4.02e-04, avg_loss: 3.49, run_time: 81.04
steps: 99500, lr: 4.01e-04, avg_loss: 3.50, run_time: 80.38
steps: 100000, lr: 4.00e-04, avg_loss: 3.50, run_time: 80.38
steps: 100500, lr: 3.99e-04, avg_loss: 3.50, run_time: 80.82
steps: 101000, lr: 3.98e-04, avg_loss: 3.50, run_time: 80.13
